timestamp,symbol,type,entry,stop_loss,take_profit,atr,rr,notes,outcome,pnl_percentage,exit_price,exit_time,pnl_usd,position_size,balance_after_trade
2025-10-17 11:00:00,BTCUSDT,LONG_WYCKOFF_SPRING,105683.72,104233.26053636,108101.1524394,966.9729757614612,1.67,wyckoff_spring,WIN,1.6666666666666667,108101.1524394,2025-10-20 17:00:00,170.36258755068232,0.07047253307851113,10392.117840591622
2025-10-17 10:00:00,BTCUSDT,LONG_HAMMER,104751.99,103174.18942662,107381.6576223,1051.8670489213573,1.67,hammer,WIN,1.6666666666666545,107381.6576223,2025-10-20 17:00:00,173.2019640098591,0.06586458400334672,10565.31980460148
2025-10-17 09:00:00,BTCUSDT,SHORT_SHOOTINGSTAR,104531.35,106114.94731814,101892.02113643,1055.731545426975,1.67,shooting_star,LOSS,-1.0,106114.94731814,2025-10-20 17:00:00,-105.65319804601481,0.066717212030966,10459.666606555465
2025-10-17 09:00:00,BTCUSDT,SHORT_WYCKOFF_UPTHRUST,104531.35,106114.94731814,101892.02113643,1055.731545426975,1.67,wyckoff_upthrust,LOSS,-1.0,106114.94731814,2025-10-20 17:00:00,-104.59666606555466,0.06605003991065635,10355.069940489911
2025-10-17 08:00:00,BTCUSDT,LONG_WYCKOFF_SPRING,104884.38,103284.13070458,107551.46215903,1066.832863610762,1.67,wyckoff_spring,WIN,1.666666666664578,107551.46215903,2025-10-20 17:00:00,172.58449900794892,0.06470910482589612,10527.654439497861
2025-10-17 02:00:00,BTCUSDT,LONG_HAMMER,108972.97,107172.38070268,111973.9521622,1200.392864878022,1.67,hammer,LOSS,-1.0,107172.38070268,2025-10-19 10:00:00,-105.27654439497861,0.05846782747829984,10422.377895102882
2025-10-16 16:00:00,BTCUSDT,LONG_WYCKOFF_SPRING,109232.43,107561.74654047,112016.90243255,1113.7889730184493,1.67,wyckoff_spring,LOSS,-1.0,107561.74654047,2025-10-20 00:00:00,-104.22377895102882,0.06238391740608362,10318.154116151853
2025-10-16 15:00:00,BTCUSDT,SHORT_WYCKOFF_UPTHRUST,108549.21,110354.02249813,105541.18916978,1203.2083320885602,1.67,wyckoff_upthrust,LOSS,-1.0,110354.02249813,2025-10-20 17:00:00,-103.18154116151852,0.05717022752691891,10214.972574990334
2025-10-16 12:00:00,BTCUSDT,SHORT_SHOOTINGSTAR,111519.07,113450.92782558,108299.30695736,1287.9052170548712,1.67,shooting_star,WIN,1.666666666670129,108299.30695736,2025-10-20 02:00:00,170.24954291685927,0.0528764199918466,10385.222117907193
2025-10-15 23:00:00,BTCUSDT,SHORT_SHOOTINGSTAR,110763.28,112348.69735287,108120.91774522,1056.9449019123515,1.67,shooting_star,WIN,1.6666666666645618,108120.91774522,2025-10-20 02:00:00,173.0870352982346,0.06550465780576531,10558.309153205428
